Semester,Composer,State,University,Ensemble,Work,Arranger
F 18,"Leemans, Pieter",IA,Graceland University,Symphonic Band,March of the Belgian Parachutist,Swearingen
F 18,"Lenz, Patrick",IN,Indiana University,Concert Band,Pillar of Fire,
F 18,"Lenz, Patrick",IN,Indiana University,Symphonic Band,Pillar of Fire,
F 18,"Liszt, Franz",KS,Kansas State University,Wind Ensemble,Hungarian Attack March,
F 18,"Loewe, Frederick",AK,Anchorage Community College,Concert Band,My Fair Lady,Bennett
F 18,"Lovrien, David",SC,Bob Jones University,Symphonic Wind Band,Minor Alterations: Through the Looking Glass,
F 18,"Mackey, John",CA,Cal Poly Pomona University,Symphonic Band,Lightning Field,
F 19,"Mackey, John",CA,California State Univeristy,Symphonic Band,Sheltering Sky,
Spr 19,"Mackey, John",NY,Hartwick College,Wind Ensemble,The Cruel Moon,
Spr 19,"Mackey, John",KS,Hutchinson Community College,Wind Symphony,Undertow,
F 18,"Mackey, John",IN,Indiana University,Wind Ensemble,Songs from the End of the World,
F 18,"Mackey, John",KS,Kansas State University,Wind Symphony,"Night on Fire from ""The Soul Has Many Motions""",
F 18,"Mackey, John",KS,Kansas State University,Wind Ensemble,Ringmaster's March,
F 18,"Mackey, John",GA,Kennesaw State University,Wind Symphony,Hymn to a Blue Hour,
Spr 19,"Magdeburg, Joachim / Bach, J. S.",IL,Concordia University,Symphonic Band,Who Puts HIs Trust in God Most Just,Croft
Spr 19,"Mahler, Gustav",NC,Appalachian State University,Wind Ensemble,Um Mitternacht,
F 19,"Mahr, Timothy",CA,California State Univeristy,Concert Band,Mountain Prayers,
F 18,"Mahr, Timothy",NY,Hartwick College,Wind Ensemble,Daydream,
F 18,"Markowski, Michael",CA,Cal Poly Pomona University,Symphonic Band,Shine,
Spr 19,"Markowski, Michael",TN,East Tennessee State University,Wind Ensemble,joyRIDE,
Spr 19,"Markowski, Michael",GA,Kennesaw State University,Symphonic Band,Instinctive Travels,
Spr 19,"Márquez, Arturo",OR,Clackamas Community College,Wind Ensemble,Danzón No. 2,Nickel
Spr 19,"Márquez, Arturo",KS,Hutchinson Community College,Wind Symphony,Danzón No. 2,Nickel
F 18,"Maslanka, David",OR,Clackamas Community College,Wind Ensemble,Mother Earth,
F 18,"Maslanka, David",IL,Concordia University,Wind Symphony,Give Us This Day - Short Symphony for Wind Ensemble,
F 18,"Maslanka, David",IN,Indiana University,Wind Ensemble,A Child's Garden of Dreams,
Spr 19,"Maslanka, David",MI,Interlochen Arts Academy,Band,Symphony 4,
F 18,"Maslanka, David",KS,Kansas State University,Wind Ensemble,Symphony No. 10,
F 18,"Maslanka, David",GA,Kennesaw State University,Wind Ensemble,Symphony No. 10,
Spr 19,"Maslanka, David/Maslanka, Matthew",NC,Appalachian State University,Wind Ensemble,Symphony No. 10: The River of Time,
F 18,"Massenety, Jules",IL,Concordia University,University Band,Meditation from Thais,Harding
Spr 19,"McBeth, Francis W.",OR,Clackamas Community College,Wind Ensemble,They Hung Their Harps in the Wililows,
Spr 19,"McCartney, Paul",OH,Columbus State Community College,Concert Band,Live and Let Die,Murtha
F 18,"McDougall, Ian",SC,Bob Jones University,Symphonic Wind Band,Bells,
F 18,"McGinty, Anne",GA,Kennesaw State University,University Band,All the Pretty Horses,
Spr 19,"Mennin, Peter",NC,Appalachian State University,Symphony Band,Canzona,
F 18,"Mennin, Peter",TN,Johnson City Community Concert Band,Concert Band,Canzona,
F 18,"Milhaud, Darius",NC,Appalachian State University,Symphony Band,Suite Française,
F 19,"Milhaud, Darius",CA,California State Univeristy,Concert Band,Suite Française,
Spr 19,"Milhaud, Darius",IN,Indiana University,Wind Ensemble,La création du monde,
F 19,anonymous,CA,Concordia University - Irvine,Wind Orchestra,A Hymn for St. Michael and All Angels,"Duncan, Owen"
F 18,anonymous,TN,East Tennessee State University,Wind Ensemble,Holiday Portraits,"O'Loughlin, Sean"
F 18,anonymous,TN,East Tennessee State University,Concert Band,"Jesus, Jesu Rest Your Head","Wallace, Tom"
F 19,anonymous,KS,Hutchinson Community College,Wind Symphony,Home on the Range,Barnes
Spr 19,anonymous,KS,Hutchinson Community College,Wind Symphony,"Stardust, Hoagie Carmichael",Bullock
F 18,anonymous,TN,Johnson City Community Concert Band,Concert Band,Secret Agent Santa,"Summons, Jeff"
F 18,anonymous,TN,Johnson City Community Concert Band,Concert Band,Ukrainian Bell Carol,"Saucedo, Richard"
Spr 19,anonymous,TN,Johnson City Community Concert Band,Concert Band,"William Byrd Suite (Mvts. - I, III, V)","Jacob, Gordon"
Spr 19,"Moncayo, José Pablo",SC,Clemson University,Symphonic Band,Huapango,Osman
F 18,"Movhaness, Alan",OR,Clackamas Community College,Wind Ensemble,Mysterious Mountain from Symphony No. 2,Erickson
Spr 19,"Mozart, Wolfgang Amadeus",OH,Columbus State Community College,Concert Band,Concerto for Two Pianos (Mvt III),Dich
F 18,"Mruzek, David M.",OH,Columbus State Community College,Concert Band,Kentuckiana March,
Spr 19,"Munn, Zae",OH,Denison University,Wind Ensemble,Absorb,
Spr 19,"Navarro, Oscar",MI,Interlochen Arts Academy,Band,Libertadores,
Spr 19,"Needham, Clint",MI,Interlochen Arts Academy,Band,"Resolve: Ballet/Concerto for Bass Trio, Wind Ensemble and Dancers",
Spr 19,"Nelson, Ron",NC,Appalachian State University,Wind Ensemble,Rocky Point Holiday,
F 18,"Nelson, Ron",SC,Bob Jones University,Symphonic Wind Band,Lauds [High Praise Day],
Spr 19,"Nelson, Ron",IN,Indiana University,Wind Ensemble,Passacaglia (Homage on B-A-C-H),
F 18,"Nelson, Ron",IN,Indiana University,Symphonic Band,Pastorale: Autumn Rose,
F 18,"Nelson, Ron",GA,Kennesaw State University,University Band,Courtly Airs and Dances,
F 18,"Nelson, Ron",GA,Kennesaw State University,University Band,Courtly Airs and Dances,
F 18,"Newman, Jonathan",GA,Kennesaw State University,Wind Symphony,As the scent of spring rain…,
F 18,"Nishimura, Cait",CA,Cal Poly Pomona University,Symphonic Band,Chasing Sunlight,
F 18,"Nishimura, Cait",NY,Hartwick College,Wind Ensemble,Chasing Sunlight,
F 18,"Nowak, Jerry",OH,Columbus State Community College,Concert Band,Suite for Woodwind Quintet and Band,
F 18,"Nowlin, Ryan",KS,Kansas State University,Concert Band,Legacy Fanfare,
F 18,"Oquin, Wayne",CA,Cal Poly Pomona University,Wind Ensemble,A Solemn Place,
Spr 19,"Oquin, Wayne",IL,Concordia University,Symphonic Band,A Solemn Place,
Spr 19,"Oquin, Wayne",TN,East Tennessee State University,Wind Ensemble,Song for Silent Voices,
F 18,"Persichetti, Vincent",NC,Appalachian State University,Wind Ensemble,Pageant,
Spr 19,"Persichetti, Vincent",OH,Denison University,Wind Ensemble,Symphony No. 6,
F 18,"Piunno, Nicole",IA,Graceland University,Symphonic Band,Autumn Air,
F 18,"Ponchinelli, Amilcare",IN,Indiana University,Concert Band,Concerto per flicorno basso,
Spr 19,"Presti, Ronald Lo",NC,Appalachian State University,Wind Ensemble,Elegy for a Young American,
Spr 19,"Puccini, Giacomo",NC,Appalachian State University,Symphony Band,Nessun Dorma,
Spr 19,"Puccini, Giacomo",TN,Johnson City Community Concert Band,Concert Band,Nessun Dorma,Bocook
F 18,"Puckett, Joel",IN,Indiana University,Concert Band,My Eyes are Full of Shadow,
F 18,"Rankin, Robert",IN,Indiana University,Concert Band,Pickett's Charge,
F 18,"Rautavaarra, Einjuhani",IN,Indiana University,Wind Ensemble,A Requiem in Our Time,
F 18,"Reed, Alfred",AK,Anchorage Community College,Concert Band,Russian Christmas Music,
F 18,"Reed, Alfred",NC,Appalachian State University,Symphony Band,El Camino Real: A Latin Fantasy,
F 18,"Reed, Alfred",SC,Bob Jones University,Symphonic Wind Band,Symphony No. 3,
F 18,"Reed, Alfred",IL,Concordia University,Wind Symphony,Armenian Dances,
F 18,"Reed, Alfred",IL,Concordia University,University Band,Ballade,
F 18,"Reed, Alfred",IL,Concordia University,University Band,First Suite for Band (Mvt IV),
F 18,"Reed, Alfred",IN,Indiana University,"All 3 (WE, SB, CB)",Punchinello,
Spr 19,"Reed, Owen H.",IL,Concordia University,University Band,La Fiesta Mexicana,
Spr 19,"Renkmeyer, Andrea",IN,Indiana University,Concert Band,Dos Danzas,
Spr 19,"Richards, Paul",GA,Kennesaw State University,Symphonic Band,"Symphony No. 2 ""Refractions""",
F 18,"Ridge, Matt",IN,Indiana University,Concert Band,Flirting with Disaster,
Spr 19,"Rogers, Richard",OH,Denison University,Wind Ensemble,You'll Never Walk Alone,Leidzén
F 18,"Rose, Onsby C.",NC,Appalachian State University,Wind Ensemble,Symphony No. 1: Heroes,
Spr 19,"Rose, Onsby C.",OH,Columbus State Community College,Concert Band,Feuilles-Oh!,
F 18,"Rotolo, Kyle Peter",IN,Indiana University,Concert Band,Pulchra Prisma,
F 18,"Rubin, Corey",IN,Indiana University,Symphonic Band,Christmas Football USA,
Spr 19,"Runestad, Jake",IL,Concordia University,Symphonic Band,Let My Love Be Heard,
F 18,"Rutter, John",TN,Johnson City Community Concert Band,Concert Band,We Wish You a Merry Christmas,Noble
F 18,"Sabzghabaei, Daniel Reza",IN,Indiana University,Symphonic Band,ThurDimension,
Spr 19,"Salfelder, Kathryn",OH,Denison University,Wind Ensemble,Reminiscence,
Spr 19,"Saucedo, Richard",NC,Appalachian State University,Concert Band,Awakening Hills,
F 18,"Schoenberg, Adam",OH,Bowling Green State University,Wind Symphony,Symphony No. 2 - Migration,
Spr 19,"Schoenberg, Adam",CA,Cal Poly Pomona University,Wind Ensemble,Rise,
F 18,"Schoenberg, Adam",CA,Cal Poly Pomona University,Wind Ensemble,Picture Studies,Patterson
F 19,"Schoenberg, Adam",CA,California State Univeristy,Concert Band,Rise,
Spr 19,"Schoenberg, Adam",OH,Denison University,Wind Ensemble,Canto,Kelly
F 18,"Schoenberg, Arnold",GA,Kennesaw State University,Wind Ensemble,Theme and Variations,
Spr 19,"Schuman, William",NC,Appalachian State University,Wind Ensemble,Chester,
F 18,"Schuman, William",NC,Appalachian State University,Symphony Band,When Jesus Wept,
Spr 19,"Schuman, William",SC,Bob Jones University,Symphonic Wind Band,Chester,
Spr 19,"Schuman, William",SC,Bob Jones University,Symphonic Wind Band,When Jesus Wept,
F 18,"Seitz, Roland",SC,Bob Jones University,Symphonic Wind Band,March Grandioso,Reed
F 19,"Sheldon, Robert",CA,California State Univeristy,College of the Sequoias Symphonic Band,Art in the Park,
Spr 19,"Sheldon, Robert",OH,Columbus State Community College,Concert Band,Harbringer,
F 18,"Sheldon, Robert",TN,Johnson City Community Concert Band,Concert Band,A Most Wonderful Christmas,
F 18,"Shostakovich, Dmitri",CA,Cal Poly Pomona University,Symphonic Band,Folk Dances,Reynolds
Spr 19,"Shostakovich, Dmitri",OR,Clackamas Community College,Wind Ensemble,Festive Overture,Hunsberger
F 18,"Shostakovich, Dmitri",IN,Indiana University,Wind Ensemble,Danco No. 1 from Suite for Variety Orchestra,"de Meij, J"
Spr 19,"Shostakovich, Dmitri",MI,Interlochen Arts Academy,Band,Festive Overture,Hunsberger
F 19,"Sibelius, Jean",KS,Hutchinson Community College,Wind Symphony,Finlandia,Reed
F 18,"Silverman, Adam",GA,Kennesaw State University,Wind Symphony,Raining Bricks,
F 18,"Silvestri, Alan/ Ballard, Glen",TN,Johnson City Community Concert Band,Concert Band,Selections from The Polar Express,Brubaker
Spr 19,"Simon, Carlos",IN,Indiana University,Wind Ensemble,AMEN!,
Spr 19,"Smith, Claude T.",CA,Cal Poly Pomona University,Symphonic Band,Fantasia for Alto Saxophone and Band,
F 19,"Smith, Claude T.",CA,Concordia University - Irvine,Wind Orchestra,Symphonic March on an English Hymn Tune,
F 18,"Smith, Claude T.",GA,Kennesaw State University,Wind Symphony,Festival Variations,
F 18,"Smith, John Stafford",KS,Kansas State University,Wind Ensemble,The Star Spangled Banner,Werle
F 19,"Smith, Robert W.",CA,California State Univeristy,Symphonic Band,Symphonic Festival,
F 18,"Smith, Robert W.",TN,East Tennessee State University,Concert Band,The Maelstrom,
Spr 19,"Sousa, John Philip",NC,Appalachian State University,Symphony Band,Semper Fidelis,Bourgeois
Spr 19,"Sousa, John Philip",NC,Appalachian State University,Concert Band,The Black Horse Troop,
Spr 19,"Sousa, John Philip",SC,Bob Jones University,Symphonic Wind Band,Black Horse Troop,
F 18,"Sousa, John Philip",SC,Bob Jones University,Symphonic Wind Band,Washington Post,
F 18,"Sousa, John Philip",IL,Concordia University,Wind Symphony,Nobles of the Mystic Shrine,
F 18,"Sousa, John Philip",NY,Hartwick College,Wind Ensemble,The Liberty Bell,
Spr 19,"Sousa, John Philip",NY,Hartwick College,Wind Ensemble + SUNY Broome Concert Band,The Stars and Stripes Forever,
F 18,"Sousa, John Philip",IN,Indiana University,Wind Ensemble,Nobles of the Mystic Shrine,
F 18,"Sousa, John Philip",IN,Indiana University,"All 3 (WE, SB, CB)",The Glory of the Yankee Navy,
F 18,"Sousa, John Philip",TN,Johnson City Community Concert Band,Concert Band,The Fairest of the Fair,Fennell
Spr 19,"Sousa, John Philip",TN,Johnson City Community Concert Band,Concert Band,U.S Field Artillery March,Brion/Schissel
F 18,"Sousa, John Philip",KS,Kansas State University,Wind Ensemble,Kansas Wildcat March,
F 18,"Spears, Jared",OH,Columbus State Community College,Concert Band,Concerto for Percussion Section and Band,
Spr 19,"Stamp, Jack",TN,East Tennessee State University,Wind Ensemble,Concertino for Solo Percussionist and Band,
F 18,"Standridge, Randall D.",TN,East Tennessee State University,Concert Band,The Witching Hour,
F 18,Stephenson,OH,Bowling Green State University,Wind Symphony,Symphony No. 2,
Spr 19,"Stephenson, James M.",MI,Interlochen Arts Academy,Band,Mobius Trip,
F 18,"Stephenson, James M.",GA,Kennesaw State University,Wind Ensemble,Saints Fantasy,"Richardson, Rex"
F 18,"Stevens, John",TN,Johnson City Community Concert Band,Concert Band,Benediction,
Spr 19,"Strauss, Johann",CA,Cal Poly Pomona University,Symphonic Band,Radetzky March,Foeller
Spr 19,"Strauss, Johann",IL,Concordia University,University Band,Radetzky March,Reed
F 18,"Strauss, Richard",NC,Appalachian State University,Wind Ensemble,Serenade in E-Flat Major,
F 18,"Strauss, Richard",IN,Indiana University,Symphonic Band,Serenade in E-Flat Major,
F 18,"Strauss, Richard",GA,Kennesaw State University,Wind Ensemble,Allerseelen,"Davis, Albert/Fennell"
F 19,"Stuart, Hugh M.",CA,California State Univeristy,Symphonic Band,Three Ayres from Gloucester,
F 18,"Susato, Tielman",GA,Kennesaw State University,University Band,The Battle Pavane,Margolis
Spr 19,"Suter, Anthony",IN,Indiana University,Concert Band,Dancing at Stonehenge,
F 18,"Sweeney, Michael",OR,Clackamas Community College,Wind Ensemble,Passages,
F 18,"Taylor, Benjamin Dean",OH,Bowling Green State University,Wind Symphony,Shattering Infinity,
F 18,"Tchaikovsky, Peter Ilich",SC,Bob Jones University,Symphonic Wind Band,Marche Slave,Laurendeau
Spr 19,"Tchaikovsky, Peter Ilich",TN,Johnson City Community Concert Band,Concert Band,Dance of the Jesters,Cramer
Spr 19,"Thomas, Omar",SC,Clemson University,Symphonic Band,Come Sunday,
F 18,"Ticheli, Frank",AK,Anchorage Community College,Concert Band,Amazing Grace,
Spr 19,"Ticheli, Frank",NC,Appalachian State University,Symphony Band,Rest,
Spr 19,"Ticheli, Frank",NC,Appalachian State University,Wind Ensemble,Shenandoah,
F 18,"Ticheli, Frank",CA,Cal Poly Pomona University,Wind Ensemble,Blue Shades,
F 18,"Ticheli, Frank",CA,Cal Poly Pomona University,Symphonic Band,Simple Gifts,
Spr 19,"Ticheli, Frank",SC,Clemson University,Symphonic Band,Angels in the Architecture,
Spr 19,"Ticheli, Frank",IL,Concordia University,Symphonic Band,Acadiana - III. To Lafayette,
Spr 19,"Ticheli, Frank",IL,Concordia University,Symphonic Band,Angels in the Architecture,
F 19,"Ticheli, Frank",CA,Concordia University - Irvine,Wind Orchestra,Joy Revisited,
F 18,"Ticheli, Frank",TN,East Tennessee State University,Concert Band,Joy Revisited,
F 18,"Ticheli, Frank",IA,Graceland University,Symphonic Band,Simple Gifts,
Spr 19,"Ticheli, Frank",NY,Hartwick College,Wind Ensemble,Blue Shades,
Spr 19,"Ticheli, Frank",MI,Interlochen Arts Academy,Band,American Elegy,
Spr 19,"Ticheli, Frank",MI,Interlochen Arts Academy,Band,Angels in the Architecture,
Spr 19,"Ticheli, Frank",TN,Johnson City Community Concert Band,Concert Band,An American Elegy,
Spr 19,"Ticheli, Frank",KS,Kansas State University,Concert Band,Fortress,
F 18,"Ticheli, Frank",KS,Kansas State University,Wind Symphony,Rest,
F 18,"Ticheli, Frank",GA,Kennesaw State University,Wind Symphony,Wild Nights,
F 18,"Toch, Ernst",GA,Kennesaw State University,Wind Ensemble,Spiel fur Blasorchester Op. 39,
Spr 19,"Tower, Joan",MI,Interlochen Arts Academy,Band,Fascinating Ribbons,
Spr 19,"Turina, Joaquín",NC,Appalachian State University,Symphony Band,La Procession du Rocio,Reed
Spr 19,"Turner, Jess Langston",SC,Bob Jones University,Symphonic Wind Band,I Know Moonrise,
Spr 19,"Turner, Jess Langston",MI,Interlochen Arts Academy,Band,Dancefares,
F 19,"van Beethoven, Ludwig",KS,Hutchinson Community College,Wind Symphony,Symphony No. 7 - Mvt. III,Evans
F 18,"Van der Roost, Jan",IN,Indiana University,Concert Band,Canterbury Chorale,
F 18,"Vaughan Williams, Ralph",IA,Graceland University,Symphonic Band,English Folk Song Suite (Mvt. III),
F 18,"Vaughan Williams, Ralph",NY,Hartwick College,Wind Ensemble,English Folk Song Suite,
F 18,"Vaughan Williams, Ralph",IN,Indiana University,Symphonic Band,Toccata Marziale,Battisti
Spr 19,"Vaughan Williams, Ralph",MI,Interlochen Arts Academy,Band,Sea Songs,
Spr 19,"Vaughan Williams, Ralph",MI,Interlochen Arts Academy,Band,Tuba Concerto,
F 18,"Vaughan Williams, Ralph",GA,Kennesaw State University,University Band,Rhosymedre,"Beeler, Walter"
F 18,"von Blon, Franz",SC,Bob Jones University,Symphonic Wind Band,Die Wacht Am Rhein,Wiley
Spr 19,"Wagner, Josef Franz",NY,Hartwick College,SUNY Broome Concert Band,American Jubilee Overture,
Spr 19,"Wagner, Richard",NC,Appalachian State University,Wind Ensemble,Elsa's Procession to the Cathedral,"Calliet, Lucien"
Spr 19,"Wagner, Richard",OR,Clackamas Community College,Wind Ensemble,Elsa's Procession to the Cathedral,Caillet
F 18,"Wagner, Richard",IL,Concordia University,University Band,Elsa's Procession to the Cathedral,Bourgeois
Spr 19,"Wagner, Richard",IN,Indiana University,Symphonic Band,Huldigungsmarsch,Reed
F 18,"Wagner, Richard",TN,Johnson City Community Concert Band,Concert Band,Elsa's Procession to the Cathedral,Caillet
F 18,"Walters, Harold",IL,Concordia University,University Band,Instant Concert,
F 19,"Walton, William",CA,California State Univeristy,Concert Band,Crown Imperial,Duthoit
F 19,"Ward, Robert",CA,California State Univeristy,Concert Band,Jubilation - an Overture,Leist
F 18,"Watters, Mark",SC,Bob Jones University,Symphonic Wind Band,Forged in Fire,
Spr 19,"Weinberger, Jaromir",IL,Concordia University,University Band,"Polka and Fugue from Schwanda, the Bagpiper",Bainum
Spr 19,"Weller, Travis J.",TN,East Tennessee State University,Concert Band,Jubilant Flourishes,
Spr 19,"Whitacre, Eric",NC,Appalachian State University,Concert Band,The Seal Lullaby,
F 18,"Whitacre, Eric",OH,Bowling Green State University,Wind Symphony,Deep Field,
F 18,"Whitacre, Eric",OH,Bowling Green State University,Wind Symphony,Godzilla Eats Las Vegas,
F 18,"Whitacre, Eric",TN,East Tennessee State University,Wind Ensemble,October,
F 18,"Whitacre, Eric",IN,Indiana University,Symphonic Band,The Ride from Ghost Train Triptych,
F 18,"Whitacre, Eric",TN,Johnson City Community Concert Band,Concert Band,Lux Aurumque,
F 18,"Whitacre, Eric",KS,Kansas State University,Wind Symphony,Lux Aurumque,
Spr 19,"Williams, Clifton",NC,Appalachian State University,Symphony Band,Symphonic Suite,
F 18,"Williams, Clifton",SC,Bob Jones University,Symphonic Wind Band,The Sinfonians,
F 19,"Williams, Clifton",CA,California State Univeristy,Symphonic Band,Symphonic Suite,
Spr 19,"Williams, Clifton",TN,Johnson City Community Concert Band,Concert Band,Fanfare and Allegro,
F 18,"Williams, Evan",IA,Graceland University,Symphonic Band,Variations on Wachet auf ruft uns die Stimme,
Spr 19,"Williams, John",KS,Hutchinson Community College,Wind Symphony,Catch Me if You Can,Bocook
F 18,"Williams, John",KS,Kansas State University,Wind Ensemble,For The President's Own,
F 18,"Williams, Thomas J.",IL,Concordia University,Wind Symphony,A Fantasy on Thy Strong Word,"Pappas, Joseph"
Spr 19,"Williams, Vaughan",OH,Columbus State Community College,Concert Band,Prelude from 49th Parallel,Osman
F 19,"Wilson, Dana",CA,California State Univeristy,College of the Sequoias Symphonic Band,Searching for Lost Dreams,
F 18,"Wilson, Dana",KS,Kansas State University,Wind Symphony,Shortcut Home,
F 19,"Woolfenden, Guy",CA,California State Univeristy,Concert Band,French Impressions,
F 18,"Yagisawa, Satoshi",IA,Graceland University,Symphonic Band,Bells of Sagrada Familia,
F 18,"Yee, Thomas",IN,Indiana University,Concert Band,Reformation Variations,
F 18,"Yee, Thomas",IN,Indiana University,Symphonic Band,Reformation Variations,
F 18,Yi-De Chen,IN,Indiana University,Concert Band,Believe Yourself,
F 18,"Yon, Pietro A.",TN,Johnson City Community Concert Band,Concert Band,Gesu Bambino,Rogers
F 19,"Young, Charles Rochester",CA,California State Univeristy,College of the Sequoias Symphonic Band,Tempered Steel,
F 18,"Zare, Roger",IN,Indiana University,Concert Band,Lift Off,
F 19,"Zdechlik, John",CA,Concordia University - Irvine,Wind Orchestra,Chorale and Shaker Dance,
F 18,"Zimmer, Hans",OH,Columbus State Community College,Concert Band,Backdraft,Myokoin